QI	IDcount	ID	Algo1	Algo2	FirstSel	SecondSel	ND	FirstSelPerc	SecondSelPerc	NDperc
C	1	CELLDE_MOCELL	CELLDE	MOCELL	3	2	5	0.3	0.2	0.5
C	2	CELLDE_NSGA-II	CELLDE	NSGA-II	2	5	3	0.2	0.5	0.3
C	3	CELLDE_PAES	CELLDE	PAES	3	2	5	0.3	0.2	0.5
C	4	CELLDE_SMPSO	CELLDE	SMPSO	1	2	7	0.1	0.2	0.7
C	5	CELLDE_SPEA2	CELLDE	SPEA2	2	7	1	0.2	0.7	0.1
C	6	MOCELL_NSGA-II	MOCELL	NSGA-II	1	4	6	0.0909090909090909	0.363636363636364	0.545454545454545
C	7	MOCELL_PAES	MOCELL	PAES	3	0	8	0.272727272727273	0	0.727272727272727
C	8	MOCELL_SMPSO	MOCELL	SMPSO	3	2	6	0.272727272727273	0.181818181818182	0.545454545454545
C	9	MOCELL_SPEA2	MOCELL	SPEA2	1	5	5	0.0909090909090909	0.454545454545455	0.454545454545455
C	10	NSGA-II_PAES	NSGA-II	PAES	6	0	5	0.545454545454545	0	0.454545454545455
C	11	NSGA-II_SMPSO	NSGA-II	SMPSO	4	1	6	0.363636363636364	0.0909090909090909	0.545454545454545
C	12	NSGA-II_SPEA2	NSGA-II	SPEA2	2	3	6	0.181818181818182	0.272727272727273	0.545454545454545
C	13	PAES_SMPSO	PAES	SMPSO	2	2	7	0.181818181818182	0.181818181818182	0.636363636363636
C	14	PAES_SPEA2	PAES	SPEA2	0	5	6	0	0.454545454545455	0.545454545454545
C	15	SMPSO_SPEA2	SMPSO	SPEA2	2	5	4	0.181818181818182	0.454545454545455	0.363636363636364
