QI	IDcount	ID	Algo1	Algo2	FirstSel	SecondSel	ND	FirstSelPerc	SecondSelPerc	NDperc
ED	1	CELLDE_MOCELL	CELLDE	MOCELL	5	5	0	0.5	0.5	0
ED	2	CELLDE_NSGA-II	CELLDE	NSGA-II	3	7	0	0.3	0.7	0
ED	3	CELLDE_PAES	CELLDE	PAES	7	3	0	0.7	0.3	0
ED	4	CELLDE_SMPSO	CELLDE	SMPSO	3	6	1	0.3	0.6	0.1
ED	5	CELLDE_SPEA2	CELLDE	SPEA2	3	6	1	0.3	0.6	0.1
ED	6	MOCELL_NSGA-II	MOCELL	NSGA-II	1	8	2	0.0909090909090909	0.727272727272727	0.181818181818182
ED	7	MOCELL_PAES	MOCELL	PAES	6	3	2	0.545454545454545	0.272727272727273	0.181818181818182
ED	8	MOCELL_SMPSO	MOCELL	SMPSO	5	6	0	0.454545454545455	0.545454545454545	0
ED	9	MOCELL_SPEA2	MOCELL	SPEA2	1	8	2	0.0909090909090909	0.727272727272727	0.181818181818182
ED	10	NSGA-II_PAES	NSGA-II	PAES	7	1	3	0.636363636363636	0.0909090909090909	0.272727272727273
ED	11	NSGA-II_SMPSO	NSGA-II	SMPSO	9	2	0	0.818181818181818	0.181818181818182	0
ED	12	NSGA-II_SPEA2	NSGA-II	SPEA2	3	5	3	0.272727272727273	0.454545454545455	0.272727272727273
ED	13	PAES_SMPSO	PAES	SMPSO	4	7	0	0.363636363636364	0.636363636363636	0
ED	14	PAES_SPEA2	PAES	SPEA2	1	9	1	0.0909090909090909	0.818181818181818	0.0909090909090909
ED	15	SMPSO_SPEA2	SMPSO	SPEA2	3	8	0	0.272727272727273	0.727272727272727	0
