QI	IDcount	ID	Algo1	Algo2	FirstSel	SecondSel	ND	FirstSelPerc	SecondSelPerc	NDperc
GD	1	CELLDE_MOCELL	CELLDE	MOCELL	5	5	0	0.5	0.5	0
GD	2	CELLDE_NSGA-II	CELLDE	NSGA-II	1	9	0	0.1	0.9	0
GD	3	CELLDE_PAES	CELLDE	PAES	6	4	0	0.6	0.4	0
GD	4	CELLDE_SMPSO	CELLDE	SMPSO	4	5	1	0.4	0.5	0.1
GD	5	CELLDE_SPEA2	CELLDE	SPEA2	2	8	0	0.2	0.8	0
GD	6	MOCELL_NSGA-II	MOCELL	NSGA-II	2	9	0	0.181818181818182	0.818181818181818	0
GD	7	MOCELL_PAES	MOCELL	PAES	8	3	0	0.727272727272727	0.272727272727273	0
GD	8	MOCELL_SMPSO	MOCELL	SMPSO	6	5	0	0.545454545454545	0.454545454545455	0
GD	9	MOCELL_SPEA2	MOCELL	SPEA2	2	8	1	0.181818181818182	0.727272727272727	0.0909090909090909
GD	10	NSGA-II_PAES	NSGA-II	PAES	10	0	1	0.909090909090909	0	0.0909090909090909
GD	11	NSGA-II_SMPSO	NSGA-II	SMPSO	10	1	0	0.909090909090909	0.0909090909090909	0
GD	12	NSGA-II_SPEA2	NSGA-II	SPEA2	3	6	2	0.272727272727273	0.545454545454545	0.181818181818182
GD	13	PAES_SMPSO	PAES	SMPSO	5	6	0	0.454545454545455	0.545454545454545	0
GD	14	PAES_SPEA2	PAES	SPEA2	1	10	0	0.0909090909090909	0.909090909090909	0
GD	15	SMPSO_SPEA2	SMPSO	SPEA2	1	10	0	0.0909090909090909	0.909090909090909	0
