QI	IDcount	ID	Algo1	Algo2	FirstSel	SecondSel	ND	FirstSelPerc	SecondSelPerc	NDperc
PFS	1	CELLDE_MOCELL	CELLDE	MOCELL	5	3	2	0.5	0.3	0.2
PFS	2	CELLDE_NSGA-II	CELLDE	NSGA-II	1	8	1	0.1	0.8	0.1
PFS	3	CELLDE_PAES	CELLDE	PAES	3	6	1	0.3	0.6	0.1
PFS	4	CELLDE_SMPSO	CELLDE	SMPSO	4	4	2	0.4	0.4	0.2
PFS	5	CELLDE_SPEA2	CELLDE	SPEA2	1	8	1	0.1	0.8	0.1
PFS	6	MOCELL_NSGA-II	MOCELL	NSGA-II	0	8	3	0	0.727272727272727	0.272727272727273
PFS	7	MOCELL_PAES	MOCELL	PAES	4	5	2	0.363636363636364	0.454545454545455	0.181818181818182
PFS	8	MOCELL_SMPSO	MOCELL	SMPSO	3	6	2	0.272727272727273	0.545454545454545	0.181818181818182
PFS	9	MOCELL_SPEA2	MOCELL	SPEA2	0	8	3	0	0.727272727272727	0.272727272727273
PFS	10	NSGA-II_PAES	NSGA-II	PAES	9	0	2	0.818181818181818	0	0.181818181818182
PFS	11	NSGA-II_SMPSO	NSGA-II	SMPSO	6	2	3	0.545454545454545	0.181818181818182	0.272727272727273
PFS	12	NSGA-II_SPEA2	NSGA-II	SPEA2	3	0	8	0.272727272727273	0	0.727272727272727
PFS	13	PAES_SMPSO	PAES	SMPSO	5	5	1	0.454545454545455	0.454545454545455	0.0909090909090909
PFS	14	PAES_SPEA2	PAES	SPEA2	1	9	1	0.0909090909090909	0.818181818181818	0.0909090909090909
PFS	15	SMPSO_SPEA2	SMPSO	SPEA2	2	6	3	0.181818181818182	0.545454545454545	0.272727272727273
