QI	Algo	Counter	Percentage
HV	CELLDE	21	0.42
HV	MOCELL	16	0.296296296296296
HV	NSGA-II	41	0.759259259259259
HV	PAES	4	0.0740740740740741
HV	SMPSO	30	0.555555555555556
HV	SPEA2	37	0.685185185185185
HV	ND	11	0.06875
IGD	CELLDE	17	0.34
IGD	MOCELL	19	0.351851851851852
IGD	NSGA-II	42	0.777777777777778
IGD	PAES	9	0.166666666666667
IGD	SMPSO	25	0.462962962962963
IGD	SPEA2	42	0.777777777777778
IGD	ND	6	0.0375
EP	CELLDE	23	0.46
EP	MOCELL	15	0.277777777777778
EP	NSGA-II	40	0.740740740740741
EP	PAES	3	0.0555555555555556
EP	SMPSO	34	0.62962962962963
EP	SPEA2	38	0.703703703703704
EP	ND	7	0.04375
GD	CELLDE	18	0.36
GD	MOCELL	23	0.425925925925926
GD	NSGA-II	41	0.759259259259259
GD	PAES	13	0.240740740740741
GD	SMPSO	18	0.333333333333333
GD	SPEA2	42	0.777777777777778
GD	ND	5	0.03125
GS	CELLDE	32	0.64
GS	MOCELL	12	0.222222222222222
GS	NSGA-II	31	0.574074074074074
GS	PAES	3	0.0555555555555556
GS	SMPSO	40	0.740740740740741
GS	SPEA2	33	0.611111111111111
GS	ND	9	0.05625
ED	CELLDE	21	0.42
ED	MOCELL	18	0.333333333333333
ED	NSGA-II	34	0.62962962962963
ED	PAES	12	0.222222222222222
ED	SMPSO	24	0.444444444444444
ED	SPEA2	36	0.666666666666667
ED	ND	15	0.09375
PFS	CELLDE	14	0.28
PFS	MOCELL	10	0.185185185185185
PFS	NSGA-II	34	0.62962962962963
PFS	PAES	17	0.314814814814815
PFS	SMPSO	19	0.351851851851852
PFS	SPEA2	31	0.574074074074074
PFS	ND	35	0.21875
C	CELLDE	11	0.22
C	MOCELL	10	0.185185185185185
C	NSGA-II	21	0.388888888888889
C	PAES	4	0.0740740740740741
C	SMPSO	9	0.166666666666667
C	SPEA2	25	0.462962962962963
C	ND	80	0.5
